qid,hit,anls,n_pages,doc_id
376,True,1.0,6,hjxj0037
377,False,0.0,6,hjxj0037
49528,False,0.0,0,
49530,False,0.0,0,
49532,False,0.0,0,
24499,False,0.0,0,
49534,False,0.0,0,
383,False,0.0,0,
384,False,0.0,0,
385,False,0.0,0,
49536,False,0.0,0,
24500,False,0.0,0,
49542,False,0.0,0,
49544,False,0.0,0,
49546,False,0.0,0,
395,True,1.0,1,hyhk0037
396,True,1.0,1,hyhk0037
397,True,1.0,1,hyhk0037
49550,False,0.0,0,
398,True,1.0,1,hyhk0037
49555,False,0.0,0,
49560,False,0.0,0,
24505,False,0.0,0,
57765,True,1.0,2,rnbx0223
57766,True,1.0,2,rnbx0223
57767,True,0.0,2,rnbx0223
57770,True,0.0,2,rnbx0223
57771,True,0.0,2,rnbx0223
431,False,0.0,0,
432,False,0.0,0,
433,False,0.0,0,
553,True,1.0,1,khxj0037
554,True,1.0,1,khxj0037
555,True,1.0,1,khxj0037
57951,False,0.0,3,fqvw0217
57952,False,0.0,3,fqvw0217
57954,False,0.0,3,fqvw0217
57955,False,1.0,3,fqvw0217
57963,False,0.0,1,fqvw0217
57964,False,0.0,1,fqvw0217
57965,False,0.0,1,fqvw0217
57985,True,1.0,1,fqvw0217
57986,True,1.0,1,fqvw0217
58029,False,0.0,1,fqvw0217
58309,False,1.0,1,fqvw0217
58310,False,0.0,1,fqvw0217
58311,False,1.0,1,fqvw0217
58312,False,0.0,1,fqvw0217
58526,False,0.0,2,rnbx0223
58528,False,0.0,2,rnbx0223
58530,False,1.0,2,rnbx0223
58531,False,0.0,2,rnbx0223
58555,True,1.0,2,rnbx0223
58558,True,1.0,2,rnbx0223
58560,True,1.0,2,rnbx0223
57253,True,1.0,6,snbx0223
57254,True,1.0,6,snbx0223
50503,True,1.0,3,nrcj0037
50504,True,1.0,3,nrcj0037
50505,True,1.0,3,nrcj0037
50506,True,1.0,3,nrcj0037
50507,True,1.0,3,nrcj0037
50508,True,1.0,3,nrcj0037
50509,True,1.0,3,nrcj0037
50510,True,1.0,3,nrcj0037
50517,False,0.0,0,
50518,False,0.0,0,
57260,True,1.0,2,hsyn0081
50536,True,1.0,2,mxcj0037
50537,True,1.0,2,mxcj0037
50538,True,1.0,3,nrcj0037
50539,True,0.7333333333333334,3,nrcj0037
50541,True,1.0,3,nrcj0037
16557,False,0.0,0,
58748,False,1.0,7,rnbx0223
58750,True,1.0,7,rnbx0223
58752,True,1.0,7,rnbx0223
58756,True,1.0,7,rnbx0223
16554,False,0.0,0,
58878,True,1.0,8,rnbx0223
58879,False,0.0,8,rnbx0223
58880,True,1.0,8,rnbx0223
50716,True,1.0,3,nrcj0037
50717,True,1.0,3,nrcj0037
50718,True,1.0,3,nrcj0037
50719,True,1.0,3,nrcj0037
50720,True,1.0,3,nrcj0037
