engine,level,page,cer,wer
unlimited_ocr,medium,bert_p001,0.0161,0.1048
unlimited_ocr,medium,bert_p002,0.1599,0.3041
unlimited_ocr,medium,bert_p003,0.1126,0.2012
unlimited_ocr,medium,bert_p004,0.1172,0.2452
unlimited_ocr,medium,bert_p005,0.3288,0.3589
unlimited_ocr,medium,bert_p006,0.5158,0.4031
unlimited_ocr,medium,bert_p007,0.113,0.1436
unlimited_ocr,medium,bert_p008,0.277,0.2613
unlimited_ocr,medium,bert_p009,0.0319,0.128
unlimited_ocr,medium,bert_p010,0.0302,0.115
unlimited_ocr,medium,bert_p011,0.0121,0.0797
unlimited_ocr,medium,bert_p012,0.0941,0.1919
unlimited_ocr,medium,bert_p013,0.0376,0.1108
unlimited_ocr,medium,bert_p014,1.0,1.0
unlimited_ocr,medium,bert_p015,0.2536,0.2165
unlimited_ocr,medium,resnet_p000,1.0,1.0
unlimited_ocr,medium,resnet_p001,0.0525,0.1006
unlimited_ocr,medium,resnet_p002,0.144,0.1917
unlimited_ocr,medium,resnet_p003,0.3331,0.4121
unlimited_ocr,medium,resnet_p004,0.637,0.6172
unlimited_ocr,medium,resnet_p005,0.4005,0.3197
unlimited_ocr,medium,resnet_p006,0.1975,0.1739
unlimited_ocr,medium,resnet_p007,0.2251,0.2562
unlimited_ocr,medium,resnet_p008,0.0078,0.0415
unlimited_ocr,medium,resnet_p009,0.0205,0.0929
unlimited_ocr,medium,resnet_p010,0.5541,0.3814
unlimited_ocr,medium,resnet_p011,1.0,1.0
unlimited_ocr,heavy,attention_p000,0.1023,0.1574
unlimited_ocr,heavy,attention_p001,0.0559,0.0788
unlimited_ocr,heavy,attention_p002,0.0772,0.0959
unlimited_ocr,heavy,attention_p003,0.3215,0.3985
unlimited_ocr,heavy,attention_p004,0.1551,0.2736
unlimited_ocr,heavy,attention_p005,0.2416,0.3181
unlimited_ocr,heavy,attention_p006,0.1172,0.1981
unlimited_ocr,heavy,attention_p007,0.3461,0.2519
unlimited_ocr,heavy,attention_p008,0.9872,0.3428
unlimited_ocr,heavy,attention_p009,0.2067,0.1987
unlimited_ocr,heavy,attention_p010,0.0022,0.0186
unlimited_ocr,heavy,attention_p011,0.0009,0.0067
unlimited_ocr,heavy,attention_p012,1.0,1.0
unlimited_ocr,heavy,attention_p013,1.0,1.0
unlimited_ocr,heavy,attention_p014,1.0,1.0
unlimited_ocr,heavy,bert_p000,0.0392,0.1248
unlimited_ocr,heavy,bert_p001,1.0,1.0
unlimited_ocr,heavy,bert_p002,0.1531,0.3007
unlimited_ocr,heavy,bert_p003,0.1075,0.1951
unlimited_ocr,heavy,bert_p004,0.1141,0.2323
unlimited_ocr,heavy,bert_p005,0.3292,0.3616
unlimited_ocr,heavy,bert_p006,0.5058,0.3924
unlimited_ocr,heavy,bert_p007,0.113,0.1409
unlimited_ocr,heavy,bert_p008,0.2994,0.2883
unlimited_ocr,heavy,bert_p009,0.4013,0.544
unlimited_ocr,heavy,bert_p010,0.0304,0.1165
unlimited_ocr,heavy,bert_p011,0.1243,0.191
unlimited_ocr,heavy,bert_p012,0.0849,0.1968
unlimited_ocr,heavy,bert_p013,0.0376,0.1108
unlimited_ocr,heavy,bert_p014,1.0,1.0
unlimited_ocr,heavy,bert_p015,0.2584,0.2069
unlimited_ocr,heavy,resnet_p000,0.0844,0.1386
unlimited_ocr,heavy,resnet_p001,0.0607,0.1172
unlimited_ocr,heavy,resnet_p002,0.1662,0.2176
unlimited_ocr,heavy,resnet_p003,0.3182,0.4109
unlimited_ocr,heavy,resnet_p004,0.3967,0.4266
unlimited_ocr,heavy,resnet_p005,0.3678,0.2869
unlimited_ocr,heavy,resnet_p006,0.3049,0.2719
unlimited_ocr,heavy,resnet_p007,0.1833,0.2219
unlimited_ocr,heavy,resnet_p008,0.0095,0.0426
unlimited_ocr,heavy,resnet_p009,0.0455,0.1207
unlimited_ocr,heavy,resnet_p010,0.6699,0.403
unlimited_ocr,heavy,resnet_p011,0.2609,0.2152
