,cer,cer,wer,wer
,mean,median,mean,median
level,,,,
clean,0.1651,0.1115,0.2518,0.1584
light,0.1722,0.1192,0.2543,0.1792
medium,0.1619,0.1153,0.2485,0.1792
heavy,0.1583,0.0905,0.2443,0.1698
