engine,level,page,cer,wer
tesseract,medium,resnet_p000,0.0589,0.1084
tesseract,medium,resnet_p001,0.0174,0.0391
tesseract,medium,resnet_p002,0.0093,0.044
tesseract,medium,resnet_p003,0.3173,0.3891
tesseract,medium,resnet_p004,0.2347,0.3828
tesseract,medium,resnet_p005,0.0327,0.0902
tesseract,medium,resnet_p006,0.0252,0.0665
tesseract,medium,resnet_p007,0.0963,0.1493
tesseract,medium,resnet_p008,0.0804,0.1581
tesseract,medium,resnet_p009,0.0114,0.0491
tesseract,medium,resnet_p010,0.3997,0.5418
tesseract,medium,resnet_p011,0.032,0.083
tesseract,heavy,attention_p000,0.1103,0.1574
tesseract,heavy,attention_p001,0.0071,0.0273
tesseract,heavy,attention_p002,0.0509,0.0685
tesseract,heavy,attention_p003,0.0295,0.1028
tesseract,heavy,attention_p004,0.0367,0.1214
tesseract,heavy,attention_p005,0.0403,0.1097
tesseract,heavy,attention_p006,0.0157,0.0596
tesseract,heavy,attention_p007,0.0479,0.1306
tesseract,heavy,attention_p008,0.3614,0.3976
tesseract,heavy,attention_p009,0.0923,0.1317
tesseract,heavy,attention_p010,0.0187,0.1189
tesseract,heavy,attention_p011,0.0134,0.085
tesseract,heavy,attention_p012,0.459,0.552
tesseract,heavy,attention_p013,1.0,1.0
tesseract,heavy,attention_p014,0.6449,0.7143
tesseract,heavy,bert_p000,0.0286,0.0598
tesseract,heavy,bert_p001,0.0155,0.0389
tesseract,heavy,bert_p002,0.1144,0.2062
tesseract,heavy,bert_p003,0.0126,0.0506
tesseract,heavy,bert_p004,0.0691,0.1403
tesseract,heavy,bert_p005,0.0491,0.1695
tesseract,heavy,bert_p006,0.07,0.1725
tesseract,heavy,bert_p007,0.0279,0.0752
tesseract,heavy,bert_p008,0.0309,0.1066
tesseract,heavy,bert_p009,0.0165,0.0576
tesseract,heavy,bert_p010,0.0176,0.0651
tesseract,heavy,bert_p011,0.0139,0.0664
tesseract,heavy,bert_p012,0.0832,0.1581
tesseract,heavy,bert_p013,0.015,0.0677
tesseract,heavy,bert_p014,0.3022,0.3905
tesseract,heavy,bert_p015,0.0545,0.0977
tesseract,heavy,resnet_p000,0.0566,0.1175
tesseract,heavy,resnet_p001,0.0211,0.0568
tesseract,heavy,resnet_p002,0.0132,0.0631
tesseract,heavy,resnet_p003,0.3261,0.4036
tesseract,heavy,resnet_p004,0.4418,0.5551
tesseract,heavy,resnet_p005,0.117,0.1776
tesseract,heavy,resnet_p006,0.0363,0.1074
tesseract,heavy,resnet_p007,0.1164,0.1726
tesseract,heavy,resnet_p008,0.1206,0.2371
tesseract,heavy,resnet_p009,0.0167,0.0684
tesseract,heavy,resnet_p010,0.2195,0.3531
tesseract,heavy,resnet_p011,0.0477,0.1222
