,cer,cer,wer,wer
,mean,median,mean,median
level,,,,
clean,0.4759,0.6688,0.5876,0.8073
light,0.4768,0.6677,0.5908,0.8106
medium,0.479,0.6691,0.5941,0.8056
heavy,0.4844,0.666,0.6086,0.8121
