,cer,cer,wer,wer
,mean,median,mean,median
level,,,,
clean,0.5466,0.5831,0.5546,0.3841
light,0.2484,0.1564,0.271,0.2127
medium,0.3068,0.1646,0.322,0.2281
heavy,0.3042,0.1833,0.3166,0.2219
