qid,doc_id,hit,anls,n_pages
300,rzbj0037,False,1.0,4
49454,yshb0228,True,1.0,6
303,nrcj0037,True,1.0,10
304,nrcj0037,False,0.0,10
305,nrcj0037,False,1.0,10
49455,yshb0228,True,1.0,6
307,nrcj0037,False,1.0,10
49461,yshb0228,True,1.0,6
49465,yshb0228,True,1.0,6
317,hyhk0037,True,1.0,2
319,hyhk0037,True,1.0,2
320,hgbl0037,True,1.0,3
321,hgbl0037,True,0.5932203389830508,3
345,lycj0037,True,1.0,4
346,lycj0037,True,1.0,4
347,lycj0037,True,1.0,4
348,lycj0037,True,1.0,4
6943,xpcf0004,True,1.0,2
357,rzbj0037,True,1.0,4
358,rzbj0037,True,1.0,4
359,rzbj0037,True,1.0,4
360,rzbj0037,False,0.0,4
361,rzbj0037,True,1.0,4
362,sncj0037,True,1.0,4
363,sncj0037,True,1.0,4
364,sncj0037,True,1.0,4
365,sncj0037,True,0.0,4
8560,nnhk0228,True,0.0,2
4958,hljn0226,True,1.0,2
8565,nnhk0228,True,0.0,2
4959,hljn0226,True,1.0,2
375,hjxj0037,True,1.0,6
376,hjxj0037,True,1.0,6
377,hjxj0037,False,0.0,6
49528,mybv0228,False,1.0,13
49530,mybv0228,True,1.0,13
49532,mybv0228,True,1.0,13
24499,hpbl0226,True,1.0,1
49534,mybv0228,True,0.0,13
383,phxj0037,True,1.0,2
384,phxj0037,True,1.0,2
385,phxj0037,True,1.0,2
49536,mybv0228,True,0.6617647058823529,13
24500,hpbl0226,True,1.0,1
49542,mybv0228,True,1.0,13
49544,mybv0228,True,1.0,13
49546,mybv0228,True,1.0,13
395,hyhk0037,True,1.0,2
396,hyhk0037,True,1.0,2
397,hyhk0037,True,1.0,2
49550,mybv0228,True,1.0,13
398,hyhk0037,True,1.0,2
49555,mybv0228,False,1.0,13
49560,mybv0228,False,1.0,13
24505,hpbl0226,True,1.0,1
57765,rnbx0223,False,0.0,4
57766,rnbx0223,False,1.0,4
57767,rnbx0223,False,0.0,4
57770,rnbx0223,True,1.0,4
57771,rnbx0223,True,1.0,4
431,rzbj0037,True,1.0,2
432,rzbj0037,True,1.0,2
433,rzbj0037,True,1.0,2
553,khxj0037,True,1.0,1
554,khxj0037,True,1.0,1
555,khxj0037,True,0.0,1
57951,fqvw0217,False,1.0,9
57952,fqvw0217,False,0.0,9
57954,fqvw0217,False,0.0,9
57955,fqvw0217,True,1.0,9
57963,fqvw0217,True,1.0,4
57964,fqvw0217,True,1.0,4
57965,fqvw0217,True,1.0,4
57985,fqvw0217,True,1.0,4
57986,fqvw0217,False,1.0,4
58029,fqvw0217,True,1.0,4
58309,fqvw0217,False,1.0,4
58310,fqvw0217,False,0.0,4
58311,fqvw0217,True,1.0,4
58312,fqvw0217,True,1.0,4
58526,rnbx0223,False,0.0,5
58528,rnbx0223,True,0.0,5
58530,rnbx0223,True,1.0,5
58531,rnbx0223,True,1.0,5
58555,rnbx0223,True,1.0,4
58558,rnbx0223,True,1.0,4
58560,rnbx0223,True,0.0,4
57253,snbx0223,True,1.0,6
57254,snbx0223,True,0.0,6
50503,nrcj0037,False,1.0,10
50504,nrcj0037,False,0.0,10
50505,nrcj0037,False,0.0,10
50506,nrcj0037,False,1.0,10
50507,nrcj0037,True,1.0,10
50508,nrcj0037,True,1.0,10
50509,nrcj0037,False,1.0,10
50510,nrcj0037,False,0.0,10
50517,phxj0037,True,1.0,2
50518,phxj0037,True,1.0,2
57260,hsyn0081,True,1.0,2
50536,mxcj0037,True,1.0,3
50537,mxcj0037,True,1.0,3
50538,nrcj0037,True,1.0,10
50539,nrcj0037,False,0.0,10
50541,nrcj0037,True,1.0,10
16557,xjvw0217,True,1.0,1
58748,rnbx0223,True,1.0,7
58750,rnbx0223,True,1.0,7
58752,rnbx0223,True,1.0,7
58756,rnbx0223,True,1.0,7
16554,xjvw0217,True,1.0,1
58878,rnbx0223,True,1.0,8
58879,rnbx0223,True,1.0,8
58880,rnbx0223,True,1.0,8
50716,nrcj0037,False,1.0,10
50717,nrcj0037,False,0.0,10
50718,nrcj0037,False,0.0,10
50719,nrcj0037,False,1.0,10
50720,nrcj0037,False,0.0,10
